Cod_Mun,Mun,Referência,Pes_PBF,Pes_Cad,F_PBF_Domi,F_PBF_EP,F_CAD_EP
35322071020,Narandiba,10/20,412.0,2035.0,7.43,0.0,72.0
35323061020,Natividade da Serra,10/20,1205.0,2287.0,14.27,0.0,247.0
35324051020,Nazaré Paulista,10/20,3428.0,6392.0,17.57,0.0,1123.0
35325041020,Neves Paulista,10/20,984.0,2926.0,10.89,0.0,458.0
35326031020,Nhandeara,10/20,923.0,2738.0,7.54,0.0,301.0
35327021020,Nipoã,10/20,818.0,1770.0,16.1,0.0,394.0
35328011020,Nova Aliança,10/20,610.0,1889.0,7.8,0.0,125.0
35328271020,Nova Campina,10/20,2805.0,5064.0,29.81,0.0,937.0
35328431020,Nova Canaã Paulista,10/20,237.0,837.0,12.28,0.0,85.0
35328681020,Nova Castilho,10/20,141.0,431.0,10.44,0.0,34.0
35329001020,Nova Europa,10/20,1146.0,3925.0,10.11,0.0,305.0
35330071020,Nova Granada,10/20,2032.0,5252.0,9.11,0.0,646.0
35331061020,Nova Guataporanga,10/20,413.0,956.0,18.46,0.0,190.0
35332051020,Nova Independência,10/20,931.0,1647.0,24.81,0.0,485.0
35332541020,Novais,10/20,582.0,1974.0,9.78,0.0,169.0
35333041020,Nova Luzitânia,10/20,436.0,1369.0,10.47,0.0,203.0
